period_id,teacher_id,course_id,school_year,semester,class_id,student_count,class_hours
P-T001-2023-2024-春,T001,数学,2023-2024,春,CT001-24,33,121
P-T001-2023-2024-秋,T001,数学,2023-2024,秋,CT001-24,38,135
P-T001-2024-2025-春,T001,数学,2024-2025,春,CT001-25,37,128
P-T001-2024-2025-秋,T001,数学,2024-2025,秋,CT001-25,33,163
P-T001-2025-2026-春,T001,数学,2025-2026,春,CT001-26,32,157
P-T001-2025-2026-秋,T001,数学,2025-2026,秋,CT001-26,43,122
P-T002-2023-2024-春,T002,数学,2023-2024,春,CT002-24,30,125
P-T002-2023-2024-秋,T002,数学,2023-2024,秋,CT002-24,36,134
P-T002-2024-2025-春,T002,数学,2024-2025,春,CT002-25,30,155
P-T002-2024-2025-秋,T002,数学,2024-2025,秋,CT002-25,36,165
P-T002-2025-2026-春,T002,数学,2025-2026,春,CT002-26,43,134
P-T002-2025-2026-秋,T002,数学,2025-2026,秋,CT002-26,44,157
P-T003-2023-2024-春,T003,语文,2023-2024,春,CT003-24,38,171
P-T003-2023-2024-秋,T003,语文,2023-2024,秋,CT003-24,30,168
P-T003-2024-2025-春,T003,语文,2024-2025,春,CT003-25,35,164
P-T003-2024-2025-秋,T003,语文,2024-2025,秋,CT003-25,43,141
P-T003-2025-2026-春,T003,语文,2025-2026,春,CT003-26,38,129
P-T003-2025-2026-秋,T003,语文,2025-2026,秋,CT003-26,36,168
P-T004-2023-2024-春,T004,英语,2023-2024,春,CT004-24,40,126
P-T004-2023-2024-秋,T004,英语,2023-2024,秋,CT004-24,32,144
P-T004-2024-2025-春,T004,英语,2024-2025,春,CT004-25,33,142
P-T004-2024-2025-秋,T004,英语,2024-2025,秋,CT004-25,41,158
P-T004-2025-2026-春,T004,英语,2025-2026,春,CT004-26,38,171
P-T004-2025-2026-秋,T004,英语,2025-2026,秋,CT004-26,31,166
