school_year,semester,class_id,course_id,teacher_id,student_anon_id,score_val,exam_type
2023-2024,春,CT001-24,数学,T001,S-T001-000,35,期末
2023-2024,春,CT001-24,数学,T001,S-T001-001,73,期末
2023-2024,春,CT001-24,数学,T001,S-T001-002,64,期末
2023-2024,春,CT001-24,数学,T001,S-T001-003,70,期末
2023-2024,春,CT001-24,数学,T001,S-T001-004,75,期末
2023-2024,春,CT001-24,数学,T001,S-T001-005,84,期末
2023-2024,春,CT001-24,数学,T001,S-T001-006,100,期末
2023-2024,春,CT001-24,数学,T001,S-T001-007,74,期末
2023-2024,春,CT001-24,数学,T001,S-T001-008,63,期末
2023-2024,春,CT001-24,数学,T001,S-T001-009,62,期末
2023-2024,春,CT001-24,数学,T001,S-T001-010,42,期末
2023-2024,春,CT001-24,数学,T001,S-T001-011,73,期末
2023-2024,春,CT001-24,数学,T001,S-T001-012,48,期末
2023-2024,春,CT001-24,数学,T001,S-T001-013,40,期末
2023-2024,春,CT001-24,数学,T001,S-T001-014,91,期末
2023-2024,春,CT001-24,数学,T001,S-T001-015,89,期末
2023-2024,春,CT001-24,数学,T001,S-T001-016,68,期末
2023-2024,春,CT001-24,数学,T001,S-T001-017,95,期末
2023-2024,春,CT001-24,数学,T001,S-T001-018,97,期末
2023-2024,春,CT001-24,数学,T001,S-T001-019,97,期末
2023-2024,春,CT001-24,数学,T001,S-T001-020,74,期末
2023-2024,春,CT001-24,数学,T001,S-T001-021,34,期末
2023-2024,春,CT001-24,数学,T001,S-T001-022,65,期末
2023-2024,春,CT001-24,数学,T001,S-T001-023,67,期末
2023-2024,春,CT001-24,数学,T001,S-T001-024,70,期末
2023-2024,春,CT001-24,数学,T001,S-T001-025,87,期末
2023-2024,春,CT001-24,数学,T001,S-T001-026,84,期末
2023-2024,春,CT001-24,数学,T001,S-T001-027,89,期末
2023-2024,春,CT001-24,数学,T001,S-T001-028,95,期末
2023-2024,春,CT001-24,数学,T001,S-T001-029,30,期末
2023-2024,春,CT001-24,数学,T001,S-T001-030,67,期末
2023-2024,春,CT001-24,数学,T001,S-T001-031,94,期末
2023-2024,春,CT001-24,数学,T001,S-T001-032,81,期末
2023-2024,秋,CT001-24,数学,T001,S-T001-000,87,期末
2023-2024,秋,CT001-24,数学,T001,S-T001-001,60,期末
2023-2024,秋,CT001-24,数学,T001,S-T001-002,58,期末
2023-2024,秋,CT001-24,数学,T001,S-T001-003,92,期末
2023-2024,秋,CT001-24,数学,T001,S-T001-004,92,期末
2023-2024,秋,CT001-24,数学,T001,S-T001-005,57,期末
2023-2024,秋,CT001-24,数学,T001,S-T001-006,100,期末
2023-2024,秋,CT001-24,数学,T001,S-T001-007,72,期末
2023-2024,秋,CT001-24,数学,T001,S-T001-008,70,期末
2023-2024,秋,CT001-24,数学,T001,S-T001-009,93,期末
2023-2024,秋,CT001-24,数学,T001,S-T001-010,49,期末
2023-2024,秋,CT001-24,数学,T001,S-T001-011,61,期末
2023-2024,秋,CT001-24,数学,T001,S-T001-012,83,期末
2023-2024,秋,CT001-24,数学,T001,S-T001-013,56,期末
2023-2024,秋,CT001-24,数学,T001,S-T001-014,37,期末
2023-2024,秋,CT001-24,数学,T001,S-T001-015,96,期末
2023-2024,秋,CT001-24,数学,T001,S-T001-016,32,期末
2023-2024,秋,CT001-24,数学,T001,S-T001-017,64,期末
2023-2024,秋,CT001-24,数学,T001,S-T001-018,47,期末
2023-2024,秋,CT001-24,数学,T001,S-T001-019,68,期末
2023-2024,秋,CT001-24,数学,T001,S-T001-020,95,期末
2023-2024,秋,CT001-24,数学,T001,S-T001-021,93,期末
2023-2024,秋,CT001-24,数学,T001,S-T001-022,43,期末
2023-2024,秋,CT001-24,数学,T001,S-T001-023,59,期末
2023-2024,秋,CT001-24,数学,T001,S-T001-024,72,期末
2023-2024,秋,CT001-24,数学,T001,S-T001-025,85,期末
2023-2024,秋,CT001-24,数学,T001,S-T001-026,50,期末
2023-2024,秋,CT001-24,数学,T001,S-T001-027,93,期末
2023-2024,秋,CT001-24,数学,T001,S-T001-028,75,期末
2023-2024,秋,CT001-24,数学,T001,S-T001-029,81,期末
2023-2024,秋,CT001-24,数学,T001,S-T001-030,95,期末
2023-2024,秋,CT001-24,数学,T001,S-T001-031,74,期末
2023-2024,秋,CT001-24,数学,T001,S-T001-032,100,期末
2023-2024,秋,CT001-24,数学,T001,S-T001-033,64,期末
2023-2024,秋,CT001-24,数学,T001,S-T001-034,57,期末
2023-2024,秋,CT001-24,数学,T001,S-T001-035,92,期末
2023-2024,秋,CT001-24,数学,T001,S-T001-036,91,期末
2023-2024,秋,CT001-24,数学,T001,S-T001-037,68,期末
2024-2025,春,CT001-25,数学,T001,S-T001-000,96,期末
2024-2025,春,CT001-25,数学,T001,S-T001-001,75,期末
2024-2025,春,CT001-25,数学,T001,S-T001-002,86,期末
2024-2025,春,CT001-25,数学,T001,S-T001-003,66,期末
2024-2025,春,CT001-25,数学,T001,S-T001-004,82,期末
2024-2025,春,CT001-25,数学,T001,S-T001-005,89,期末
2024-2025,春,CT001-25,数学,T001,S-T001-006,31,期末
2024-2025,春,CT001-25,数学,T001,S-T001-007,66,期末
2024-2025,春,CT001-25,数学,T001,S-T001-008,81,期末
2024-2025,春,CT001-25,数学,T001,S-T001-009,33,期末
2024-2025,春,CT001-25,数学,T001,S-T001-010,72,期末
2024-2025,春,CT001-25,数学,T001,S-T001-011,68,期末
2024-2025,春,CT001-25,数学,T001,S-T001-012,77,期末
2024-2025,春,CT001-25,数学,T001,S-T001-013,64,期末
2024-2025,春,CT001-25,数学,T001,S-T001-014,95,期末
2024-2025,春,CT001-25,数学,T001,S-T001-015,94,期末
2024-2025,春,CT001-25,数学,T001,S-T001-016,32,期末
2024-2025,春,CT001-25,数学,T001,S-T001-017,57,期末
2024-2025,春,CT001-25,数学,T001,S-T001-018,86,期末
2024-2025,春,CT001-25,数学,T001,S-T001-019,73,期末
2024-2025,春,CT001-25,数学,T001,S-T001-020,58,期末
2024-2025,春,CT001-25,数学,T001,S-T001-021,84,期末
2024-2025,春,CT001-25,数学,T001,S-T001-022,84,期末
2024-2025,春,CT001-25,数学,T001,S-T001-023,89,期末
2024-2025,春,CT001-25,数学,T001,S-T001-024,95,期末
2024-2025,春,CT001-25,数学,T001,S-T001-025,91,期末
2024-2025,春,CT001-25,数学,T001,S-T001-026,78,期末
2024-2025,春,CT001-25,数学,T001,S-T001-027,63,期末
2024-2025,春,CT001-25,数学,T001,S-T001-028,94,期末
2024-2025,春,CT001-25,数学,T001,S-T001-029,80,期末
2024-2025,春,CT001-25,数学,T001,S-T001-030,97,期末
2024-2025,春,CT001-25,数学,T001,S-T001-031,93,期末
2024-2025,春,CT001-25,数学,T001,S-T001-032,92,期末
2024-2025,春,CT001-25,数学,T001,S-T001-033,71,期末
2024-2025,春,CT001-25,数学,T001,S-T001-034,64,期末
2024-2025,春,CT001-25,数学,T001,S-T001-035,75,期末
2024-2025,春,CT001-25,数学,T001,S-T001-036,96,期末
2024-2025,秋,CT001-25,数学,T001,S-T001-000,98,期末
2024-2025,秋,CT001-25,数学,T001,S-T001-001,65,期末
2024-2025,秋,CT001-25,数学,T001,S-T001-002,97,期末
2024-2025,秋,CT001-25,数学,T001,S-T001-003,80,期末
2024-2025,秋,CT001-25,数学,T001,S-T001-004,36,期末
2024-2025,秋,CT001-25,数学,T001,S-T001-005,80,期末
2024-2025,秋,CT001-25,数学,T001,S-T001-006,85,期末
2024-2025,秋,CT001-25,数学,T001,S-T001-007,79,期末
