teacher_id,school_year,score
T001,2023-2024,4.6
T001,2023-2024,4.2
T001,2023-2024,4.3
T001,2023-2024,4.1
T001,2023-2024,4.8
T001,2023-2024,4.7
T001,2023-2024,4.1
T001,2023-2024,4.3
T001,2023-2024,4.2
T001,2023-2024,5.0
T001,2023-2024,4.9
T001,2023-2024,4.2
T001,2023-2024,4.5
T001,2023-2024,4.3
T001,2023-2024,4.6
T001,2023-2024,4.5
T001,2023-2024,5.0
T001,2023-2024,4.1
T001,2023-2024,5.0
T001,2023-2024,4.0
T001,2023-2024,4.4
T001,2023-2024,4.8
T001,2023-2024,4.5
T001,2023-2024,4.4
T001,2023-2024,4.4
T001,2023-2024,4.6
T001,2023-2024,4.1
T001,2023-2024,4.3
T001,2023-2024,4.0
T001,2023-2024,4.5
T001,2023-2024,4.5
T001,2023-2024,4.1
T001,2023-2024,4.9
T001,2023-2024,4.6
T001,2023-2024,4.6
T001,2023-2024,4.8
T001,2023-2024,4.1
T001,2023-2024,4.5
T001,2023-2024,4.9
T001,2023-2024,4.9
T001,2023-2024,4.5
T001,2023-2024,4.3
T001,2023-2024,4.1
T001,2023-2024,5.0
T001,2023-2024,4.2
T001,2023-2024,5.0
T001,2023-2024,4.5
T001,2023-2024,4.2
T001,2023-2024,4.0
T001,2023-2024,4.1
T001,2023-2024,5.0
T001,2023-2024,4.2
T001,2023-2024,4.7
T001,2023-2024,4.6
T001,2023-2024,4.0
T001,2023-2024,4.7
T001,2023-2024,4.6
T001,2023-2024,4.6
T001,2023-2024,4.1
T001,2023-2024,4.6
T001,2024-2025,5.0
T001,2024-2025,4.3
T001,2024-2025,5.0
T001,2024-2025,3.9
T001,2024-2025,4.9
T001,2024-2025,4.0
T001,2024-2025,5.0
T001,2024-2025,4.8
T001,2024-2025,4.2
T001,2024-2025,4.2
T001,2024-2025,4.6
T001,2024-2025,4.6
T001,2024-2025,3.9
T001,2024-2025,5.0
T001,2024-2025,4.6
T001,2024-2025,4.7
T001,2024-2025,4.3
T001,2024-2025,4.2
T001,2024-2025,4.9
T001,2024-2025,4.4
T001,2024-2025,4.4
T001,2024-2025,4.7
T001,2024-2025,4.1
T001,2024-2025,4.4
T001,2024-2025,4.5
T001,2024-2025,4.3
T001,2024-2025,4.1
T001,2024-2025,4.9
